Table,attribute,type,mandatory,default,unit,comment,,
,connection_node_start_id,integer,*,,-,"Start node for orifice.
 Must be present in v2_connection_nodes",,
,connection_node_end_id,integer,*,,-,"End node for orifice.
 Must be present in v2_connection_nodes",,
,crest_level,double,*,,m above datum (NL: NAP),"Crest or bottom level. 
 Must be equal or above ajoining manhole or channel bottom/reference level.",,
,crest_type,integer,*,,-,"Type of weir formulation.
 3: broad crested
 4: short crested",,
,cross_section_definition_id,integer,*,,-,ID of cross section definition in v2_cross_section_definition,,
,discharge_coefficient_negative,double,*,1,-,Discharge coefficient for negative flow (from end to start node). Can be set to 0 when closed.,,
,discharge_coefficient_positive,double,*,1,-,Discharge coefficient for positive flow (from start to end node). Can be set to 0 when closed.,,
,display_name,text,*,,-,"Name field, no constraints",,
,friction_type,integer,*,,,"Friction Type.
 1: Chezy (not yet implemented)
 2: Manning",,
,friction_value,double,*,,"1:[m1/2/s], 2:[s/m1/3]",Friction or roughness value for profile,,
,sewerage,boolean,,,-,For internal book keeping. Can be used for statistics in QGIS plugin.,,
,zoom_category,integer,*,,,Visibility in live site. 0 is lowest for smallest level (i.e. ditch) and 5 for highest (rivers),,
v2_pipe,,,,,,Table of pipes,,
,id,serial,,,-,Unique identifier,,
,calculation_type,integer,*,1,-,"Calculation type for pipe. When start en end connection nodes are manholes only used for calculation points half-way pipe.
 0 = embedded
 1 = isolated
 2 = connected
 3 = broad crest
 4 = short crest",,
,code,text,,,-,"Name field, no constraints",,
,connection_node_end_id,integer,,,,"End node for pipe.
 Must be present in v2_connection_nodes",,
,connection_node_start_id,integer,,,,"Start node for pipe.
 Must be present in v2_connection_nodes",,
,cross_section_definition_id,integer,*,,-,ID of cross section definition in v2_cross_section_definition,,
,display_name,text,,,-,"Name field, no constraints",,
,dist_calc_points,double,,,m,Distance between calculation points on pipe.,,
,friction_type,integer,*,,,"Friction type.
 1: Chezy
 2: Manning",,
,friction_value,double,*,,"1:[m1/2/s], 2:[s/m1/3]",Friction or roughness value for profile; friction only accounted for in case of broad crested weir,,
,invert_level_end_point,double,*,,m above datum (NL: NAP),"Invert level at culvert endpoint. 
 Must be equal or above ajoining manhole or channel bottom/reference level.",,
,invert_level_start_point,double,*,,m above datum (NL: NAP),"Invert level at culvert startpoint. 
 Must be equal or above ajoining manhole or channel bottom/reference level.",,
,material,integer,,,,"Material of pipe, used for internal bookkeeping only.
 0: concrete
 1: pvc
 2: gres
 3: cast iron
 4: brickwork
 5: HPE
 6: HDPE
 7: plate iron
 8: steel",,
,original_length,double,,,m,For internal use only.,,Hoe gebruikt?
,profile_num,integer,,,,For internal use only.,,
,sewerage_type,integer,,,-,"Pipe type. 3Di requires the sewerage_type to be one of the following:
 0: gemengd - mixed
 1: rwa - rain water
 2: dwa - dry wheather flow
 3: transport
 4: overstort - spillway
 5: zinker
 6: berging - storage
 7: bergbezinkbak - storage tank
Some organisations use additional codes. This is not allowed in 3Di.",,
,zoom_category,integer,,,,Visibility in live site. 0 is lowest for smallest level (i.e. ditch) and 5 for highest (rivers),,
v2_pumpstation,,,,,,List of pumpstations,,
,id,serial,*,,,Unique identifier,,
,capacity,double,*,,L/s,Pump capacity.,,
,zoom_category,integer,,,,For internal book keeping.,,
,code,text,*,,,"Name field, no constraints",,
,connection_node_end_id,integer,,,,"End node for pumpstation. 
 Must be present in v2_connection_nodes.
 Can be left blank in which case pump functions as boundary.",,
,connection_node_start_id,integer,,,,"Start node for pumpstation. 
 Must be present in v2_connection_nodes.
 Can be left blank in which case pump functions as boundary.",,
,classification,integer,,,,,,
,display_name,text,*,,,"Name field, no constraints",,
,lower_stop_level,double,*,,m above datum (NL: NAP),"Level at pump start or end node at which pump stops pumping.
 Must be below start level.",,
,sewerage,boolean,*,,,For internal book keeping.,,
,start_level,double,*,,m above datum (NL: NAP),"Level at pump start or end node from from which it starts pumping.
 Must be equal or above ajoining manhole or channel bottom/reference level.",,
,type,integer,*,,,"Type that determines pump function.
1 Pump behaviour is based on water levels on the suction-side of the pump
2 Pump behaviour is based on water levels on the delivery-side of the pump  ",,
,sc,double,,,m above datum (NL: NAP),"Level at pump start or end node at which pump stops pumping.
 Must be above start level.",,
,zoom_category,integer,*,,,Visibility in live site. 0 is lowest for smallest level (i.e. ditch) and 5 for highest (rivers),,
v2_simple_infiltration,,,,,,do not use in combination with v2_groundwater,,
,id,serial,*,,,Unique identifier,,
,display_name,text,*,,,"Name field, no constraints",,
,infiltration_rate,double,*,0,mm/day,Global infiltration rate.,,
,infiltration_rate_file,text,,raster/yourfile.tif,mm/day,"Relative path to infiltration file (.tif).
 Infiltration uses the sum of pixel values per calculation cell in case of rain and sum of wet pixels in case of standing water.
Must be NULL (and not """") when not using infiltration otherwise 3di expects infiltration.",,
,infiltration_surface_option,integer,,0,,"Option that sets how the infiltration works in calculation cells.
 0: rain (whole surface when raining, only wet pixels when dry)
 1: whole surface (always whole surface)
 2: only wet surface (always only wet pixels)
in case not defined then option 0 is used",,
,max_infiltration_capacity_file,text,,raster/yourfile.tif,m,"Relative path to max infiltration file (.tif).
 Maximum infiltration uses the sum of pixel values per calculation cell.",,
v2_surface,,,,,,,,
,id,serial,*,,,Unique identifier,,
,area,double,*,,m2,Cannot be left blank. A value of 0 is allowed.,,
,code,text,*,,,"Name field, no constraints",,
,display_name,text,*,,,"Name field, no constraints",,
,dry_weather_flow,double,,,L/day per inhabitant,Dry weather flow per inhabitant.,,
,function,text,,,,For your own administration.,,
,nr_of_inhabitants,double,,,-,Number of inhabitant used for dry wheather flow.,,
,surface_parameters_id,integer,*,,,Reference to v2_surface_parameters. The id filled in here must be present in this (v2_surface_parameters) table,,
,zoom_category,integer,*,,,Visibility in live site. 0 is lowest for smallest level (i.e. ditch) and 5 for highest (rivers),,
v2_surface_map,,,,,,,,
,id,serial,*,,-,Unique identifier,,
,connection_node_id,integer,*,,-,ID of connection_node. Connecting the surface area from v2_surface to an connection_node,,
,percentage,double,*,,%,percentage of area to the connection_node,,
,surface_id,integer,*,,-,ID of surface feature,,
,surface_type,text,*,,-,choice to use the 'v2_surface' or 'v2_impervious_surface',,
v2_surface_parameters,For more information on these parameters see: Leidraad riolering C2100 page: 51 ,,,,,,,(L:\Intern\Digibieb\Leidraad Riolering)
,id,serial,*,,-,Unique identifier,,
,infiltration,boolean,*,,,0 or 1,,
,infiltration_decay_constant,double,*,,/h,time factor decay infiltration capacity of the surface,,
,infiltration_recovery_constant,double,*,,/h,time factor recovery infiltration capacity of the surface,,
,max_infiltration_capacity,double,*,,mm/h,Maximum infiltration capacity of the surface,,
,min_infiltration_capacity,double,*,,mm/h,Minimum infiltration capacity of the surface,,
,outflow_delay,double,*,,/min,delay of outflow,,
,surface_layer_thickness,double,*,,mm,mm storage on the surface,,
v2_weir,,,,,,List of weirs,,
,id,serial,*,,-,Unique identifier,,
,code,text,*,,-,"Name field, no constraints",,
,connection_node_end_id,integer,,,,"End node for weir.
 Must be present in v2_connection_nodes and on channel end node",,
,connection_node_start_id,integer,,,,"Start node for weir.
 Must be present in v2_connection_nodes and on channel start node",,
,crest_level,double,*,,m above datum (NL: NAP),"Crest level. 
 Must be equal or above ajoining manhole or channel bottom/reference level.",,
,crest_type,integer,*,,-,,,
,cross_section_definition_id,integer,*,,-,"Type of weir formulation.
 3: broad crested
 4: short crested",,
,discharge_coefficient_negative,double,*,,-,Discharge coefficient for negative flow (from end to start node). Can be set to 0 when closed.,,
,discharge_coefficient_positive,double,*,,-,Discharge coefficient for positive flow (from start to end node). Can be set to 0 when closed.,,
,display_name,text,*,,-,"Name field, no constraints",,
,external,boolean,,,,For internal book keeping,,
,friction_type,integer,*,,,"Friction type.
 1: Chezy
 2: Manning",,
,friction_value,double,*,,"1:[m1/2/s], 2:[s/m1/3]",Friction or roughness value for profile; friction only accounted for in case of broad crested weir,,
,sewerage,boolean,,,,"For internal book keeping, 0 (false) or 1 (true)",,
,zoom category,integer,,,,Visibility in live site. 0 is lowest for smallest level (i.e. ditch) and 5 for highest (rivers),,
v2 control tables are filled automatically using the control structures tool in the QGIS Plugin toolbox,,,,,,,,
v2_control,,,,,,,,
,id,integer,*,,,Unique identifier,,
,control_type,text,*,,,"Type of control, options are amongst others:
table
memory",,
,control_id,integer,*,,,id in the v2_control_table (in case of table control) or v2_control_memory (in case of memory control),,
,control_group_id,integer,*,,,id of the v2_control_group this control is part of,,
,measure_group_id,integer,*,,,id of the v2_measure_group,,
,start,,,,s,Start time of the control in seconds since beginning of the simulation. Can be used to link multiple control tables to one control structure.,,
,end,,,,s,End time of the control in seconds since beginning of the simulation,,
,measure_frequency,,,,,NOT YET IMPLEMENTED,,
v2_control_group,,,,,,control_group referred to in v2_global settings,,
,id,integer,*,,,Unique identifier,,
,name,text,*,,,Name,,
,description,text,*,,,Description,,
v2_control_measure_group,,,,,,Table defining the different control measure groups,,
,id,integer,*,,,Unique identifier,,
v2_control_measure_map,,,,,,Table defining the measure stations within a measure group,,
,id,integer,*,,,Unique identifier,,
,measure_group_id,integer,*,,,ID of the v2_measure_group this measure station is part of.,,
,object_type,text,*,,,"Type of object to measure at, for example:
'v2_connection_nodes'",,
,object_id,integer,*,,,id of the object (of type defined in object_type),,
,weight,double,*,,,"weight of measuring station in group, use 1.0 for groups with single measuring station. Combined weight should be 1.0.",,
v2_control_table,,,,,,Table defining the table control,,
,id,integer,*,,,Unique identifier,,
,action_table,text,*,,,"Semicolumn seperated table with action values, use # for newline. For Example: -1.7;-1.4#-1.6;-1.3#-1.5;-1.2
When controlling set_discharge_coefficients you need to supply 2 values. One for the positive discharge coefficient and one for the negative discharge coefficient. Example: -1.7;0 0#-1.6;0.5 0.8#-1.5;1 1",,
,action_type,text,*,,,Type of action; For instance: 'set_crest_level' or 'set_discharge_coefficients',,
,measure_variable,text,*,,,Measure variable in action table. For instance: 'waterlevel',,
,measure_operator,text,*,,,Operator for direction the action table is read. '<' or '>',,
,target_type,text,*,,,Structure type the control is applied to. For instance: 'v2_weir' or 'v2_culvert' or 'v2_orifice',,
,target_id,integer,*,,,Id of structure the control is applied to.,,
v2_control_memory,,,,,,Table defining the memory control,,
,id,integer,*,,,Unique identifier,,
,action_value,double,*,,,Value that the measure_variable is set to when memory control becomes active,,
,action_type,text,*,,,Type of action; For instance: set_pump_capacity,,
,is_active,integer,*,,,"0: control is inactive when initializing the model
1: control is active when initializing the model",,
,is_inverse,integer,*,,,"0: normal functioning of the control
1: inverting the lower and upper threshold",,
,lower_threshold,double,*,,,Lower threshold of measure_variable. Control becomes inactive when value drops below this value (unless is_inverse = 1),,
,measure_variable,text,*,,,Measure variable in action table. For instance: waterlevel,,
,target_id,integer,*,,,id of structure the control is applied to,,
,target_type,text,*,,,Structure type the control is applied to. For instance: v2_pumpstation,,
,upper_threshold,double,*,,,Upper threshold of measure_variable. Control becomes active when value rises above this value (unless is_inverse = 1),,
